"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"Everton","Crystal Palace","Away","Pre",90,0,8,54,8,54,46,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Brighton","Watford","Away","Pre",28,1,17,36,-25,35,60,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Wolves","Leicester","Away","Pre",90,0,7,57,1,47,46,9,52,3,51,48,"Not Top 6","Not Top 6"
"Arsenal","Newcastle","Away","Pre",58,1,5,70,22,73,51,13,45,-6,42,48,"Top 6","Not Top 6"
"Chelsea","Man United","Away","Pre",90,0,3,72,24,63,39,6,66,11,65,54,"Top 6","Top 6"
"Burnley","Arsenal","Away","Pre",43,1,15,40,-23,45,68,5,70,22,73,51,"Not Top 6","Top 6"
"West Ham","Brighton","Away","Pre",61,1,10,52,-3,52,55,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Watford","Everton","Away","Pre",90,0,11,50,-7,52,59,8,54,8,54,46,"Not Top 6","Not Top 6"
"Liverpool","Southampton","Away","Pre",45,1,2,97,67,89,22,16,39,-20,45,65,"Top 6","Not Top 6"
"Tottenham","Man City","Away","Pre",23,1,4,71,28,67,39,1,98,72,95,23,"Top 6","Top 6"
"Leicester","Chelsea","Away","Pre",67,1,9,52,3,51,48,3,72,24,63,39,"Not Top 6","Top 6"
"Man United","Wolves","Away","Pre",27,1,6,66,11,65,54,7,57,1,47,46,"Top 6","Not Top 6"
"Southampton","Brighton","Away","Pre",55,1,16,39,-20,45,65,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Crystal Palace","Man United","Away","Pre",32,1,12,49,-2,51,53,6,66,11,65,54,"Not Top 6","Top 6"
"West Ham","Watford","Away","Pre",3,1,10,52,-3,52,55,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Arsenal","Liverpool","Away","Pre",85,1,5,70,22,73,51,2,97,67,89,22,"Top 6","Top 6"
"Man City","Bournemouth","Away","Pre",15,1,1,98,72,95,23,14,45,-14,56,70,"Top 6","Not Top 6"
"Newcastle","Tottenham","Away","Pre",27,1,13,45,-6,42,48,4,71,28,67,39,"Not Top 6","Top 6"
"Burnley","Wolves","Away","Pre",13,1,15,40,-23,45,68,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man United","Southampton","Away","Pre",10,1,6,66,11,65,54,16,39,-20,45,65,"Top 6","Not Top 6"
"Bournemouth","Leicester","Away","Pre",15,1,14,45,-14,56,70,9,52,3,51,48,"Not Top 6","Not Top 6"
"Brighton","Man City","Away","Pre",90,0,17,36,-25,35,60,1,98,72,95,23,"Not Top 6","Top 6"
"Watford","Newcastle","Away","Pre",2,1,11,50,-7,52,59,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Liverpool","Burnley","Away","Pre",33,1,2,97,67,89,22,15,40,-23,45,68,"Top 6","Not Top 6"
"Wolves","Everton","Away","Pre",9,1,7,57,1,47,46,8,54,8,54,46,"Not Top 6","Not Top 6"
"Tottenham","Arsenal","Away","Pre",10,1,4,71,28,67,39,5,70,22,73,51,"Top 6","Top 6"
"Newcastle","Liverpool","Away","Pre",7,1,13,45,-6,42,48,2,97,67,89,22,"Not Top 6","Top 6"
"Burnley","Brighton","Away","Pre",90,1,15,40,-23,45,68,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Leicester","Man United","Away","Pre",90,0,9,52,3,51,48,6,66,11,65,54,"Not Top 6","Top 6"
"Crystal Palace","Tottenham","Away","Pre",90,0,12,49,-2,51,53,4,71,28,67,39,"Not Top 6","Top 6"
"Chelsea","Wolves","Away","Pre",31,1,3,72,24,63,39,7,57,1,47,46,"Top 6","Not Top 6"
"Everton","Bournemouth","Away","Pre",44,1,8,54,8,54,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Arsenal","Watford","Away","Pre",21,1,5,70,22,73,51,11,50,-7,52,59,"Top 6","Not Top 6"
"Bournemouth","Southampton","Away","Pre",10,1,14,45,-14,56,70,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Tottenham","Leicester","Away","Pre",29,1,4,71,28,67,39,9,52,3,51,48,"Top 6","Not Top 6"
"Watford","Man City","Away","Pre",90,0,11,50,-7,52,59,1,98,72,95,23,"Not Top 6","Top 6"
"Brighton","Newcastle","Away","Pre",90,0,17,36,-25,35,60,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Wolves","Crystal Palace","Away","Pre",90,1,7,57,1,47,46,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man United","West Ham","Away","Pre",90,0,6,66,11,65,54,10,52,-3,52,55,"Top 6","Not Top 6"
"Liverpool","Chelsea","Away","Pre",14,1,2,97,67,89,22,3,72,24,63,39,"Top 6","Top 6"
"West Ham","Bournemouth","Away","Pre",10,1,10,52,-3,52,55,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Brighton","Chelsea","Away","Pre",90,0,17,36,-25,35,60,3,72,24,63,39,"Not Top 6","Top 6"
"Southampton","Tottenham","Away","Pre",39,1,16,39,-20,45,65,4,71,28,67,39,"Not Top 6","Top 6"
"Watford","Wolves","Away","Pre",90,0,11,50,-7,52,59,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Everton","Away","Pre",24,1,1,98,72,95,23,8,54,8,54,46,"Top 6","Not Top 6"
"Newcastle","Leicester","Away","Pre",90,0,13,45,-6,42,48,9,52,3,51,48,"Not Top 6","Not Top 6"
"Arsenal","Man United","Away","Pre",58,1,5,70,22,73,51,6,66,11,65,54,"Top 6","Top 6"
"Tottenham","Brighton","Away","Pre",90,0,4,71,28,67,39,17,36,-25,35,60,"Top 6","Not Top 6"
"Everton","Burnley","Away","Pre",90,0,8,54,8,54,46,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Leicester","Liverpool","Away","Pre",80,1,9,52,3,51,48,2,97,67,89,22,"Not Top 6","Top 6"
"Crystal Palace","West Ham","Away","Pre",63,1,12,49,-2,51,53,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Bournemouth","Arsenal","Away","Pre",90,0,14,45,-14,56,70,5,70,22,73,51,"Not Top 6","Top 6"
"Wolves","Man City","Away","Pre",80,1,7,57,1,47,46,1,98,72,95,23,"Not Top 6","Top 6"
"Chelsea","Southampton","Away","Pre",17,1,3,72,24,63,39,16,39,-20,45,65,"Top 6","Not Top 6"
"Man United","Newcastle","Away","Pre",90,0,6,66,11,65,54,13,45,-6,42,48,"Top 6","Not Top 6"
"West Ham","Everton","Away","Pre",90,0,10,52,-3,52,55,8,54,8,54,46,"Not Top 6","Not Top 6"
"Newcastle","Chelsea","Away","Pre",90,0,13,45,-6,42,48,3,72,24,63,39,"Not Top 6","Top 6"
"Burnley","Leicester","Away","Pre",26,1,15,40,-23,45,68,9,52,3,51,48,"Not Top 6","Not Top 6"
"Watford","Tottenham","Away","Pre",6,1,11,50,-7,52,59,4,71,28,67,39,"Not Top 6","Top 6"
"Southampton","Wolves","Away","Pre",53,1,16,39,-20,45,65,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Crystal Palace","Away","Pre",39,1,1,98,72,95,23,12,49,-2,51,53,"Top 6","Not Top 6"
"Liverpool","Man United","Away","Pre",85,1,2,97,67,89,22,6,66,11,65,54,"Top 6","Top 6"
"Leicester","Southampton","Away","Pre",10,1,9,52,3,51,48,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Everton","Brighton","Away","Pre",20,1,8,54,8,54,46,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Bournemouth","Watford","Away","Pre",90,0,14,45,-14,56,70,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Chelsea","Burnley","Away","Pre",21,1,3,72,24,63,39,15,40,-23,45,68,"Top 6","Not Top 6"
"Wolves","Newcastle","Away","Pre",73,1,7,57,1,47,46,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Crystal Palace","Arsenal","Away","Pre",32,1,12,49,-2,51,53,5,70,22,73,51,"Not Top 6","Top 6"
"Tottenham","Liverpool","Away","Pre",1,1,4,71,28,67,39,2,97,67,89,22,"Top 6","Top 6"
"Man United","Bournemouth","Away","Pre",90,0,6,66,11,65,54,14,45,-14,56,70,"Top 6","Not Top 6"
"Wolves","Arsenal","Away","Pre",76,1,7,57,1,47,46,5,70,22,73,51,"Not Top 6","Top 6"
"Southampton","Man City","Away","Pre",13,1,16,39,-20,45,65,1,98,72,95,23,"Not Top 6","Top 6"
"Newcastle","West Ham","Away","Pre",16,1,13,45,-6,42,48,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Chelsea","Watford","Away","Pre",5,1,3,72,24,63,39,11,50,-7,52,59,"Top 6","Not Top 6"
"Leicester","Crystal Palace","Away","Pre",57,1,9,52,3,51,48,12,49,-2,51,53,"Not Top 6","Not Top 6"
